id,user_id,image_path,emotion_categorical,valence,arousal,dominance,timestamp,Machine_Emotion_Categorical,Machine_Valence,Machine_Arousal,Machine_Dominance
1,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/f6865a31-2ef5-4fbc-907c-7737d651999e.jpeg,Contentment,3.0,1.0,2.0,2024-12-29 03:05:29,Contentment,3,1,2
2,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/f6865a31-2ef5-4fbc-907c-7737d651999e.jpeg,Anger,0.0,0.0,0.0,2024-12-29 03:05:41,Contentment,3,1,2
3,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/f6865a31-2ef5-4fbc-907c-7737d651999e.jpeg,Contentment,3.0,1.0,2.0,2024-12-29 03:14:16,Contentment,3,1,2
4,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/bc8d0c4e-e8eb-4f21-b94e-1d486ccbfa1d.jpeg,Amusement,3.0,2.0,1.0,2024-12-29 03:15:40,Amusement,3,2,1
5,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/01f633b5-1b88-4af1-92bc-e4eb2cdf0c2a.jpeg,Anger,-2.0,3.0,-1.0,2024-12-29 03:28:38,Anger,-2,3,-1
6,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/e70f8e2f-ac06-4230-a2e0-5c9e2b24fac7.jpeg,Fear,-3.0,4.0,3.0,2024-12-29 03:37:53,Fear,-3,4,3
7,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/401d6d4c-c11c-417d-8e1f-860ba372ead7.jpeg,Excitement,3.0,2.0,1.0,2024-12-29 03:39:00,Excitement,3,2,1
8,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/6f77bb69-26de-4f6a-91e9-5930a538e7a9.jpeg,Disgust,-2.0,2.0,1.0,2024-12-29 03:41:43,Disgust,-2,2,1
9,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/55880393-4a11-4b1c-8f81-987c8334356d.jpeg,Awe,3.0,2.0,2.0,2024-12-29 03:47:31,Awe,3,2,2
10,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/2ffba1a7-fe32-48f9-9c39-6f404c34d92c.jpeg,Fear,-2.0,3.0,-1.0,2024-12-29 03:47:39,Fear,-2,3,-1
11,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/4374412c-361f-4870-8ef3-b9870b287237.jpeg,Fear,-2.0,3.0,1.0,2024-12-29 03:49:05,Fear,-2,3,1
12,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/2ba73e2e-f75a-4083-82e7-875898663f07.jpeg,Anger,-2.0,3.0,1.0,2024-12-29 03:49:09,Anger,-2,3,1
13,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/e1c0c0ad-7be6-4ec1-8309-44addabd1c30.jpeg,Awe,2.0,3.0,1.0,2024-12-29 03:49:37,Awe,2,3,1
14,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/9f1a2879-d530-457b-a299-9e3d7de52636.jpeg,Sad,-2.0,-1.0,-1.0,2024-12-29 03:49:42,Sad,-2,-1,-1
