id,user_id,image_path,emotion_categorical,valence,arousal,dominance,timestamp,Machine_Emotion_Categorical,Machine_Valence,Machine_Arousal,Machine_Dominance
20,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/12453ac7-ac1c-4136-b7ef-03cbc6b97b58.jpg,Contentment,2.0,1.0,2.0,2024-12-29 07:03:28,Contentment,2,1,2
21,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/009d2032-2c15-4a06-830c-57e6eece1fa8.jpg,Amusement,2.0,3.0,2.0,2024-12-29 07:03:48,Amusement,3,2,1
22,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/34b3fe4b-e316-4569-ab32-24a93a75a0ce.jpg,Sad,-2.0,3.0,1.0,2024-12-29 07:04:06,Anger,-2,3,1
23,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/93ca5e37-2458-4787-b0fb-3e733e15591d.jpg,Fear,-3.0,3.0,-3.0,2024-12-29 07:04:12,Fear,-3,3,-2
25,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/28e47000-1de4-4f8f-bfbd-d9eacb8e3f5e.jpg,Disgust,-3.0,3.0,-1.0,2024-12-29 07:04:58,Disgust,-3,3,1
26,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/42416310-6ba1-42ae-8465-018ba40dd3cf.jpg,Fear,-1.0,2.0,-1.0,2024-12-29 07:05:43,Awe,3,2,1
27,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/750a9ac0-29eb-4bf7-ba20-8ae7fbdf61d7.jpg,Fear,-2.0,3.0,-3.0,2024-12-29 07:06:23,Fear,-2,3,-1
28,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/c5dd193d-6355-499d-afbe-437467492eaa.jpg,Fear,-3.0,2.0,-2.0,2024-12-29 07:06:31,Fear,-2,2,-1
29,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/2eef2f86-3d3f-4a79-bf3a-c9363ed823ec.jpg,Anger,-2.0,3.0,0.0,2024-12-29 07:07:41,Anger,-2,3,2
30,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/0204e90a-9dc4-4766-9cfd-fe2f6636f40f.jpg,Awe,3.0,3.0,2.0,2024-12-29 07:07:48,Awe,3,3,2
